@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@data
' MBB: Murray State just outside Top 25 (29th) in Preseason USA Today Coaches Poll: http://usat.ly/V7dNPW  #OVC ',neutral
' You may want to plan on getting a cup of coffee at Winans this Saturday! http://bit.ly/QXGH4o  ',objective
' The prince is announcing something with Oceans North Canada & QIA on Thursday. He will also meet the Premier, Iqaluit s mayor etc. #cbcnorth ',objective
' Missing hooters,my husband,my life,my photoshoot tomorrow,guess I m gonna drink this bottle of wine with a Xanax and pass the fuck out. #bye ',negative
' Robert Pattinson paid tribute to his Bel Ami co-star Uma Thurman as he presented her with an award at the 19th W ... http://tf.to/a4Rv7  ',positive
' New Haven CT! Come to the Teen Center and party with us August 31st and help us end "The Coming Alive Tour" with a bang! ;) ',positive
' @tamalw oh my God LOL ',positive
' “@Showl_Nuff_Tuck: @AaronfingJ do u own #IvyLeague ???” What s that ',positive
' Winter Storm Watch for portions of the WDBJ7 viewing area until 8:00am Wednesday. http://bit.ly/J98BFD  ',neutral
' Gary Carter on 2nd screen: content is floating free from the distribution platform. Opportunity for producers, threat for broadcasters ',neutral
' Is it weird that I still remember that Josh Bradley s birthday is on the 15th? No?ok. ',neutral
' This is the Happz for this Friday Movement Fam. 6.30pm at Sylvia Park (Meet up in the Open Space Below the... http://fb.me/1zG0DDn3W  ',neutral
' This is the 1st Halloween my kids didn t go trick or treating... Kinda sad they are TOO OLD for it now cuz I... http://fb.me/27HUwu7kh  ',negative
' "@sonyamariie: How sexy is she? 😍😍😍😍😍😍 @ritaora http://instagr.am/p/RgeJKVFt4b/ " thank you for having me MONSTERJAM! ',positive
' Hung out with my housemate more (she s awesome!), went to Crows Nest festival, celebrated my dogs 5th birthday (love you Diesel Bean!) ... ',positive
' Ermahgerd, why is it only 10:46AM?! I want Sunday to come already. Shopping spree at the Florida Mall, yes yes yes. #MuchNeeded ',positive
' Anybody going to Long Beach Comic Con this Saturday? ',objective
' Wonder if my concert going buddy wants to go to Machine Gun Kelly, Rick Ross, Meek Mill, and Wale Nov 20 in Indy ?? @K_Pease ',neutral
' Super Tuesday is just a few days away, Can the president make it? ',positive
' Girls Gone Wild gon be at my school Thursday shit gon be crazzzzyy make sure I be my ass on campus lol #NPU ',positive
' Gamble landed at Ludlow with our first @Betrescue selection Hold Court winning at 13-8 from 9-2. Super Duty ran well in 2nd and will be ',positive
' Okay if you go to Elon University and do not go to the Rip_Chords concert Saturday...you re sinning. ',negative
' Rodeo Saturday anyone going? ',objective
' @torijay_ they re rescheduling it for one day next week!! She ll let us know tomorrow ',objective
' #Forbes CUPERTINO, CA - OCTOBER 04: Apple CEO Tim Cook speaks at the event introducing the new iPhone 4s at the ... http://onforb.es/Y2VWgt  ',objective
' Apologies @teddycasino, i was late & didn t catch your COC filing. Good luck, good run. And you re right: Meron pang iba ',neutral
' Kevin Rudd talks about PM betrayal - Updated: 19:00, Sunday Oct 28, 2012 Senior Labor MPs are again batting divided ... http://ow.ly/2sUhmn  ',negative
' Stick with Libero for live updates from the games tomorrow: Feyenoord vs Ajax and Bayern Munich vs Bayer Leverkusen ',neutral
' Tomorrow Knicks vs Heat it gonna be tough game Carmelo Anthony, Tyson chandler and jason kidd vs LeBron James, Dwayne Wade and Chris Bosh ',neutral
' The Fall Career Fair is this Wednesday 10/10 in the Murphy Center from 10am-2pm. Free to all MTSU students and... http://fb.me/2egECNnxu  ',neutral
' Jan Mursak is making his season debut tonight in place of Todd Bertuzzi, per @AnsarKhanMLive #RedWings ',objective
' FYI. Wednesday is going to suck on Caltrain, if you even plan on going to work that is. Parade. ',negative
' I have either just made an awesome king cake for work tomorrow...or the worst darn thing to ever hit a persons mouth...we shall see ',neutral
' Dont look now but: Brook Lopez had 19 pts & 9 rebs (28mins) in 1st game back from foot injury over weekend. 18 & 11 (25 mins) tonight. ',neutral
' Plies is just Kirk Franklin on a Saturday night ',neutral
' Morgan State & Hampton Univ go head to head at the #NYULClassic on Nov 17 @ Yankee Stadium! @hbcu, we d love to see you there! ',positive
' Super bummed to find out that WPPI is the same time as our kids  spring break. Why is it in March this time?! @RFWPPI #fb ',neutral
' SHUT UP & HIT THIS PARTY SATURDAY! - POP recommends: One of our all time heroes, the legendary James Murphy... http://fb.me/2umMLPrVH  ',neutral
' Max might have to get put down tomorrow </3 absolutely heart breaking if I have to see my puppy go. Love you Maxy x pic.twitter.com/lyHVHL1F ',negative
' My Social Media Week starts tomorrow, kicking off with  Socialising the Internet of Things . Sounds intriguing. #smwldn ',positive
' Trying on my pope costume just to make sure its safe for tomorrow. ',positive
' @lisachristi no Luke shake it for Lisa pic.twitter.com/RNsRGeJn ',positive
' Jeremy Lin has 10 points and 4 assists. He would be the 4th best pg on the Knicks. ',positive
' Big L his punchlines were on point "@hiphopeargasm: In a freestlyle battle who do you think would win: Big L Or KRS-One?" ',positive
' Hey Mr "Ego" October...Gary Carter & Kirby Puckett are HOFers as are you...the difference is...they were class acts...which you aren t!! ',negative
' I m going to Walgreens tomorrow because I know there s gonna be a sale on Halloween candy. ',objective
' @romasachdev06 I need everyone to know what I m doing at every moment #duh #twitterlife ',neutral
' I haven t been able to look at Todd Bertuzzi the same way since the Steve Moore incident ',negative
' Tomorrow is All Souls Day - join us for Mass at 8.30am or 7.15pm. Holy Hour after the 7.15pm Mass, led by... http://fb.me/1QLWZETK3  ',objective
' My source from the Arsenal Camp has leaked me a pre-meditated XI for Saturday, anyone want me to post it? >Bruce< ',objective
' News : Visafone and Research In Motion (RIM) on Wednesday seal a deal in Lagos that will see the first CDMA Blackberry roll out in Nigeria. ',objective
' O_O How Long Ago Was This Va Va Voom Video Made ? I ve Been Seeing Screenshots && Pictures From It For About A Year ',neutral
' Mack sure you check out @carolinakidz1 and @Trilla_Guapo this Saturday @ Club Bodi ',objective
' EVERYBODY tryna get these Galaxy Foams .. Yall not hip that the Year Of The Dragon 2012 s come out on saturday also ?? Smfh #HypeBeast ',neutral
' Somehow eyeshadow smeared to the center of my forehead. I look like a participant of Ash Wed. And I pulled out chunks of eyelashes :/ #fuck ',negative
' Just been told there will be a massive delay on our flight. Was 8pm, now 2am!!! Mmm how to kill 6 hours at an airport... ',neutral
' Act of Valor may have just become one of the best movies I ve ever seen ',positive
' @alfredoflores follow @amandawanxo and meet her on November 26, outside the bell center at 4:00? 3 ',objective
' Might have to skip my bro s rival game tomorrow just to watch the Heat vs Knicks and Clippers vs. Lakers ',objective
' Ecuador worried about Assange s health - Ecuador says it is concerned about the health of the Wikileaks founder, Jul... http://ow.ly/2sQS5S  ',negative
' Cba with work tonight. Tommorw. Sat. Sun. And Monday. ',objective
' Don t know why I m just now realizing that FFFFest is tomorrow. Someone (besides @EliW92) get on stage and dutty wine with Santigold for me. ',neutral
' Happy 21st to my mini me, twin, and the craziest nette I know- Rita. Love ya!!! @maggieborchardt pic.twitter.com/uer7caTA ',positive
' heisesec The H Roundup - Google Drive backdoor, Wayland 1.0 and Raspberry Pi: In the week ending 27 October - Go... http://bit.ly/XxsZdj  ',objective
' Beautiful Washington Monument in DC as the sun sets: http://flic.kr/p/dh6ELu  What a walking path! ',positive
' Bring the Adidas sock tomorrow @trytheV3AL ',neutral
' The beauty of SUN News! SUN TV bagging IPL contract is a breaking news on #NDTV while SUN News is busy talking about Jayalalithaa! #TN ',positive
' I rented Sherlock 2 and Ghost Rider 2 this last friday! They were both good! I rented Journey 2 last night! It had a really cute guy in it!! ',positive
' James Murphy may produce the next Arcade Fire album: http://aol.it/TnC7iv  via @Spinner ',objective
' Good win in the end for our 2nd team. Amoo, Wright and Procter best players #pnefc ',positive
' I m so ready for @_C_Lavender_ to get here tomorrow! Another fun weekend in Starkville with my sweet boy!! ',positive
' Ahaaa. Mom is funny af . LolRT @SpeaknOfAshh: My Mom called & said she s going to thee club Saturday to see Plies -____- Mom sit down . ',neutral
' Fuck it, might go see Reggie tomorrow ... ',negative
' I am getting ready for the Master Class that I am teaching at WPPI this coming Tuesday which is going to be a... http://fb.me/1jyze8ARq  ',objective
' Galaxy Foams painting sneak peak. Finishing in the morning. Vid tomorrow night! http://twitpic.com/9rhf8l  ',objective
' i need to get out of this rut. ',positive
' I just got my vans for tomorrow:D yay and my shirt green i have a grup that going to be lile that:D yay photo tomorrow<3 ',positive
' If someone takes me to Carrie Underwood next Thursday, I will love you forever. #nokidding #blownaway ',positive
' @teamcole30 @atkinsncbrewfan are you going to watch the Nuggets tomorrow????? ',objective
' My backgrounds for everything is Taylor Momsen. BEAUTIFUL human being that she is. ',positive
' Now watching NCAA Finals Game 3 in TV5! May the best team win! ',positive
' We always get pushed out to SS4 with Ben Sheppard. Could be worse. Could be Thursday night with Colin Murray #AFC ',negative
' Oh and P.S. big Adidas warehouse sale tomorrow if you re interested! ',positive
' San Antonio - your October 18th show for the Collide With The Sky Tour has been moved to Backstage Live! http://twinproductions.frontgatetickets.com/choose.php?a=1&lid=68876&eid=77958 … ',objective
' What a perfect day for a Wedding Workshop! The idea was born at WPPI in Feb...and not only is it finally here IT... http://fb.me/1TsWzt6Bi  ',positive
' @JonbonRYW then he will get fired and Reggie will be the new MCS teacher ',positive
' So lucky that I m off college Tuesday, Wednesday and Thursday next week when I m going watching Evanescence on Tuesday night :D ',positive
' Ghost Rider will be joining MVPC tomorrow afternoon. He s blind, but we re hoping its just cataracts.... Ghost is... http://fb.me/1kq2mTydT  ',neutral
' #UMES followers don t forget, #umesvolleyball takes on Morgan State today at 3! Be there or be really bored cuz it s a Sunday. Your choice ',negative
' Early Voting is open check out the Mommy Forum for a list of locations to get your votes in before Super Tuesday!... http://fb.me/2eWZUUMNB  ',objective
' think ima go to Nicki Concert @ the DAR Constitution Hall on the 21st.. 2 chainz gonna be dere ',neutral
' Pray for all those impacted by Hurricane Sandy. ',positive
' Beautiful flat meal cooked by the lovely @jackbmore, topped off nicely with half a tub of Ben and Jerrys. Diet starts tomorrow! #fatties ',positive
' @moomnaliaqat ALSOOOOO where are you going for the prayer tomorrow ?? ',negative
' Oh lordy, a hilarious night of dressing up as Jackie O and Nelson. Godamn it, its only Wednesday ',positive
' Last day to order your crew necks are tomorrow. Order being out in tomorrow at 2. Find Evan or Cole. 30 bucks. #TakeOver ',objective
' World Tomorrow with Julian Assange - Wikileaks - All Episodes: All twelve episodes plus the trailer for the show... http://adf.ly/DkNBK  ',objective
' [BBC-Africa] Somalia announce Cecafa Cup plans: Somalia will arrive in Uganda on 8 November to give the team tim... http://bbc.in/V3XF6u  ',objective
' In South Korea, when ur born, ur already a 1 yr old, #Psy was born on 31st Decemeber, so next day he was 2 yr old :D #TrueFact ',neutral
' @ZacharyLevi @KEA_Nerdette @ZacharyLeviFan @Foufa_B @NathanFillion Just see if this went thr here from FB:) ',positive
' Help White Arrows in their Invisible Children campaign! See em at the Bottle next Friday with Family of the Year... http://fb.me/2bjDS9DsM  ',neutral
' @BPurcell777 perfect shot👌 pic.twitter.com/Hr9b4TWX ',neutral
' #cmst393 here s an article about Anonymous, which is choosing now to distance itself from WikiLeaks http://www.guardian.co.uk/technology/2012/oct/12/anonymous-distances-itself-wikileaks … ',neutral
' Bad news, no Gibbs for Saturday. Unless we play TV5 at LB, we have lost before it s started. Santos is a liability and will be cut to shreds ',negative
' Ash....., You may say anything about her but she IS one of the prettiest women in India, Happy Birthday Aishwarya Rai ',positive
' Going to make some food and watch Act of Valor. Spending my Friday night relaxing. ',positive
' Don t Forget The Classical Brit Awards At 10pm tonight for a Special appearance of the 25th anniversary Cast of Phantom for 26th Bday?? ',objective
' #pakistan#news Procter and Gamble sales fall 6.7 %: P&G said net earnings in the quarter to September 30 fell to... http://bit.ly/VIiiGy  ',negative
' @andygoldstein05 Champion of the Earth" Frank Warren already looking into the unification possibilities, may put her in with Chisora first! ',objective
' CT Fashion Week Presents the 1st Annual Riviera Expo 195 Front Street (Quinnipiac Riviera) New Haven CT.... http://fb.me/1AkSyQaTx  ',neutral
' Edmonton s James Murdoch and Jay Sparrow take their new collaboration to Toronto s Rivoli tonight, Dakota Tavern Sat http://www.murdochandsparrow.com/tour/  ',objective
' Porto are the only team letting me down! C mon boys turn this around ',negative
' I think I may have spent too much on Carmelo Anthony. I only hope that his thick-framed black glasses will console me in the post-season. ',negative
' casually sat in the toilet at the hospital on the phone to Harry then Ben, standard ',neutral
' Ghost Rider 2 sucks compared to the 1st, my mom Ash are looking at it and I told them the same haha. ',negative
' Does everyone not realize the Voice is rigged. Ie cassadee pope sang in the signed band Hey Monday. Or Dia was half of Meg & Dia. ',negative
' Playing Jacinto on Gears3 on Guardian fer the 1st time nd its raining wth.. ',negative
' Imaaa be gone til Sunday the 19th ! :) ',positive
' HELLO NUGGETS, I m going to get you tomorrow. ',neutral
' On the show now, TSU HC Rod Reed, his Tigers take on Murray State on Saturday. TSU is 8-1 (4-1 in the ovc) ',neutral
' with Amar e out, thinking the Knicks may start either JR Smith or Chris Copeland. if it s the latter they start, hopefully he s productive ',neutral
' @NavyBash yo BITCH where tf my care package at? You in the navy and aint helpin us lol #NotReal ',positive
' Jennifer Aniston shows she s Prada her figure at fashion bash - The Sun http://tinyurl.com/9kgokqq  http://tinyurl.com/8paj6bu  ',objective
' Bayer Leverkusen are winning 1-0 at Bayern Munich - the apocalypse starts tomorrow ',neutral
' @RihannaDaily Rihanna s drummer announced that Rih is going perform on Saturday Night Live!!! #slay ',objective
' The Nuggets kick off their season tonight and we re hosting Nuggets fans THIS Saturday to watch the Miami Heat... http://fb.me/2tzc8wJ9q  ',objective
' Live review: Of Montreal, Neighborhood Theatre, 6/12/2012: On Tuesday night at Neighborhood Theatre, the crowd... http://dlvr.it/1jc1bN  ',neutral
' Can t believe i have to get up 5.30 am tomorrow. ',positive
' KARMA VS FLOW!!! Join us this Sunday on the Terrace.... we re taking it deep all the way :-) Filthy Rich, Richie... http://fb.me/1hKNVx1pl  ',positive
' I have cake!:-) ',neutral
' How can you hate on YOLO....please tell me how living your 2nd time is ',negative
' #tbt Reppin the W&M sweatshirt on my 2nd birthday. I had a sweet lion king cake too http://instagr.am/p/RNeaytLRuC/  ',positive
' Klitschko vs. Wach, 10th of nov in Germany, note it down in your TV schedules! ',objective
' Parting question as I leave: who else is watching the #7Up series and what do you think? #56Up tonight, SBS ',positive
' The India Rich List edition will be available in Mumbai from today.Other cities can get it tomorrow onward. It remains on stands till Dec 31 ',objective
' @NguyenTran24 when you have time you should FaceTime me.. So I can show you your god children.. #eggbabies ',negative
' Wanna WINWIN some tickets to the Vice x CPH:DOX - DK x DR party this Saturday with James Murphy and 2ManyDj s on... http://fb.me/1UhikMLkt  ',objective
' Friday - Dracula time again at the Leicester Square Theatre at 7.00pm. Not doink anysing? Come and join Van Helsing! Yes! It is I! ',positive
' Daily Zap OKC vs SAN June 2nd 2012: Daily Zap OKC vs SAN June 2nd 2012 Check tonight s e... http://adf.ly/9I41H  Wait 5s,pressSKIP AD ',objective
' @david2103cfc @LizPellington @Ad_Farnell and your all spose be Chelsea fans glory hunters ',positive
' Due to football making CIF, the Spaghetti Dinner has been moved to Monday, November 26. Dinner served at 6:30, performance starts at 7 ',objective
' Tomorrow new episode of RM but then need to wait Monday for RM with Eng Sub. Hais ',neutral
' 4ths are in striking distance of promotion & the title. Sunday is Presidents Day. Be great to get as many of us together. 2pm legends v club ',positive
' Cake fritter for breakfast anyone ?! Well done to suz and her friends-great cause and fun day had by all ',positive
' Wow. Tiger fires a 63 but not good enough. Nick Watney shoots a 59 if he birdies the 18th?!? #sick ',negative
' Brook Lopez gets a short shot +1, #brooklynnets lead 71-56 w/ 4:20 to play in the 3rd quarter. #hellobrooklyn ',objective
' Great to see the @bluenunuk girls last night. Looooooved the new nun cocktails! X ',positive
' Girls Gone Wild -->> Club Roar going be a Zoo friday ',neutral
' Stoke will make a January move for Blackburn s Martin Olsson and Newcastle are fighting Napoli and Roma for Rive... http://bit.ly/SpgsVx  ',objective
' Hope to see you at our Social Media Week event in Glasgow tomorrow. http://socialmediaweek.org/blog/event/distrify-crowd-distribution-and-sea-wall/ … #smwfilmcamp ',positive
' Getting tired of all the Baton Rouge haters. Baton Rouge has Mardi Gras & crawfish boils, so it s automatically better than 90% of the U.S. ',positive
' I find it funny that this is the 5th year in a row that Brad Paisley and Carrie Underwood have hosted the CMAs ',positive
' RT @jiyoung_MIN @skullhong 맞아~~ 어린 팬들도 많고!! 20대 팬들도 많고!!! 누나팬들도 많고!!!! 이모팬들도 쩔게 많고!!!!! 할무니팬까지 있돠!!!!!!!!ㅡㅋㅋㅋㅋ잘아네 ',positive
' If BARACK OBAMA CARED 4 the people of NJ he would lift UNION BAN like George Bush did 3days after KATRINA. #sandy #October failed leadership ',negative
' Can someone bless with Mr wattecamps hw tomorrow ',neutral
' This time tomorrow, @Jas_Stringer and I will be well on our way to Starkville for a sick weekend...the USM game is going to be atrocious. ',negative
' dont get paid till saturday but im going traffod centre tonight, cba ',negative
' Check it out!! Frobisher Says! is Free for PS Vita October 23rd: Posted by Don Mesa // Director, Product Plannin... http://adf.ly/DlYy3  ',objective
' Ghost rider 2 was good but it was super trippy. 1st one is better. ',positive
' I can t wait to cruise Walgreens tomorrow for all the half-price avatars. #LOVEMEEEEEEEEE ',positive
' Happy Birthday to the one and only Josh Bradley! MWAHAHAHA! haaamaaazing! May birthday ang character ni David XD #NanditoAko ',positive
' Act of Valor was just as good the 2nd time watching it ',positive
' I ve always liked the Sun Devils they have great representation on Girls Gone Wild ',positive
' Big L may be my favorite artist right now. Even tho he gon. RIP ',positive
' @cascadianow most college kids go get drunk on friday nights, i just read Wikileaks releases & listen to revolution songs. am i normal? ',neutral
' Good day eventing today with a win on Endymion entrechat an a 5th with viscount Oscar! very early start tomorrow for event #2 in Hampshire ',positive
' @asht0nizzle New Twitter Pic is 👍. In NY right now, so get @susan_leperaxo and let s chill soon. ',negative
' @WindowsSupport hi! Friend of mine upgraded his Sony Vaio VPCEB2E1E tot W8, but can t find driver support. Maybe do you know more? ',neutral
' What’s your reason for voting Obama-Biden? Tweet your response, or tell your story here: http://OFA.BO/x6XXxk  ',positive
' The cast & crew of #TheCuriousSavage! See it here at ASH November 16 & 17! #FallPlay #ThespianGazelles http://instagr.am/p/Rf-23by8uU/  ',objective
' Is this CiF piece meant to be funny? I mean, other than in the unintentional sense of being ironically humourless http://www.guardian.co.uk/commentisfree/2012/oct/30/how-funny-twitter-austin-mitchell … ',negative
' My lips are chapped, my ovaries hurt, and I cannot think of any scary movies with Alan Rickman. Thursday sucks. ',negative
' Some people worried about Basically NOTHING. ',neutral
' A 19th journo murdered in Somalia / Tokyo 2020 unveils stadium design rivals/ Why Madrid says it needs 2020 Olympics / http://tinyurl.com/5sbv33m  ',negative
' @dylan_hicks for all intents and purposes you lost your sports arguement about 30 min ago since you didnt have one to begin with. ',neutral
' Nirvana reflexology spa may have just saved my foot today ... I highly recommend http://nirvanareflexologyspa.com/  ',positive
' Fireworks go on sale tomorrow. I m sorry, but after experiencing Independence Day in the States, NZ fireworks can t impress me at all. ',negative
' At the Vitali Klitschko party UDAR meeting in Odessa, near Potemkin Stairs. 27 Sep 2012 http://twitpic.com/ayvhae  ',objective
' remember that one time in the 4th grade when i loved The Parent Trap so much that i gave it up for Lent.... ',positive
' Well, settled in to the next temporary residence. I have some very nice coworkers. Going to check out Long Beach and the apt tomorrow. ',positive
' Ron Jaworski is missing from the Monday Night booth. Liam Neeson stars in Taken: 7 ',neutral
' So, the rumoured #LFC team was right, & Gerrard, Agger, & Suarez, all play. Big gamble by Rodgers with Everton on Sunday. ',neutral
' I took my boyfriend Best virginity last night in Club Bodi...it was her 1st time goin 2 the club EVER @smokers_lane HAPPY BDAY CHUM CHUM ',positive
' Im so tired that Zulu is the 1st word that pops in my mind ',negative
' @SteveCarell i m having king cake for my birthday tomorrow. I can t wait. It s the best part of getting older ',positive
' I m representin for the seat where Rosa Parks sat...Where Malcolm X was shot, where Martin Luther was popped... ',objective
' Strangely, National Margarita day is Feb 22nd. Think we ll celebrate tomorrow anyway. Happy #CincoDeMayo! ',positive
' Watching last night s #redeye - the @Gavin_McInnes hipster may just be the greatest character since Stevie on Eastbound & Down! ',positive
' Where to fit #VoyageToVenus in my 6th Doctor timeline? Before Evelyn? After Charley? Maybe there s a clue in the dialogue #WhovianProblems ',objective
' Gerald Green will show on a good team that he s more than just a dunker. Kid can do it all. 2nd biggest surprise behind JLin #NBArank ',positive
' To go to Astrology night tomorrow or to not go to Astrology night tomorrow. That is the question. ',objective
' Catch @johnvoce in The Gloaming Live! at Leicester Square Theatre on the 25th & 28th http://leicestersquaretheatre.ticketsolve.com/shows/873483869/events … ',neutral
' @CJCherryh Screen shot from the 3rd ep. of THE FINDER. I think someone thought it was a romance novel: pic.twitter.com/CayczEQI ',neutral
' Such a tough choice... Ghost Rider or Friday the 13th.. ',neutral
' I m going to Keller Williams at Neighborhood Theatre in Charlotte, NC - Dec 28 http://bnds.in/PjwRNZ  ',neutral
' The fact that hunter Hayes and Carrie underwood are gonna be here Saturday and I m not going??? #what #notokay ',negative
' I still want that Birthday Cake remix that I wanted on Saturday... ',positive
' LOLOL! Aunt: so what happen with you and Mike? You guys aren t together? Me: WTH! Who told you? Aunt: c mon Evelyn, FACEBOOK! ',neutral
' BIG BANG!!! Anyone going to LAX tomorrow morning to see them? #BIGBANG #GD ',neutral
' Why is my mind doing this to me? 1st I think about Max and how he always knows when I m sad and now I think about what happens when he dies ',negative
' Twitter: "We found someone you may know on twitter! Kevin Rudd @KRuddMP - Federal Member for Griffith." http://bit.ly/Mi4Y6q . #straya ',positive
' Friday - Yearbook ordering deadline! Your child is going to want one of these, and they are so easy to order online: http://www.respto.com/yearbook/YearbookSales.html … ',positive
' ROBERT PATTINSON paid tribute to his BEL AMI co-star UMA THURMAN as he presented her with an award at the 19th Women In Hollywood ce... ',positive
' @DudWithNoZah Akin and Murdoch are scum, but rape jokes aren t much better brah. They may just be just a (cont) http://tl.gd/jp55gv  ',negative
' Now that Harden is ready to play, does everyone still wanna give Metta World Peace the death penalty? Or are you still on your high horse? ',negative
' I m in North Carolina with @TartanTerrors. We play at Elon University tomorrow! ',objective
' #Bundesliga FT Bayern Munich 1-2 Bayer Leverkusen. Bayern Munich drop points in the Bundesliga for the 1st time this season! ',neutral
' Paparazzi is a filipino showbiz oriented talk show that airs every sunday on TV5. Get the juiciest and freshest... http://fb.me/2owKRFrdr  ',positive
' 10 PS4 launch games wed love to see. These are our hopes & dreams Sony, be gentle with them: OPM: A new... http://bit.ly/YajmSc  Postters ',positive
' With Enrile finally speaking up, Alfie Anido s Wikipedia page may now be revised with citations. http://newsinfo.inquirer.net/279810/alfie-anido-mystery-death-according-to-enrile … ',objective
' And, SURPRISE SURPRISE, majority of the people, sat in the window seats, have gotten off at Murdoch. Wankers ',positive
' Bloodbeast returns to the stage with Killatoria and new act Predomination. Join them this Friday at Black Dahlia.... http://fb.me/29Ejc1IoC  ',objective
' 2nd attempt to head Eastbound in a hurry. On my way to @TheRevivalTour in Cardiff & I m going to get there one way or the other ',objective
' Mee& my grandpa are going to the rita game tomorrow #CutiePies ',positive
' Tomorrow, the Jimmy Donn "Eastbound & Down" pre-order begins. Only 100 Pre-Orders will be available. And it s a pretty sick combo pack! ',positive
' Watching Final Destination 3 with Jess!!!! While trying to eat our lunch!!!! ',positive
' Ignored again Man C v Ajax ITV Tues, Celtic v Barca SkyS2 Wed, @ITV sort it out ya fuds ',negative
' President s day is over, duty will resume tomorrow, see you all guys at Cafe Juan ',objective
' @bpshow bill, Murdoch may have apologize for saying what he said but he hasn t changed his view on the matter. ',negative
' @chrissyteigen I ll be at LAX tomorrow. If you re still there I ll bring In N Out ',neutral
' Congratulations to the Jurupa Valley Jaguar Water Polo Team. Placed 2nd in league and have a chance to go and do something in CIF. ',positive
' I can t believe the 3 important people in my life are going to Hawaii Friday without me ',negative
' Got a bit of sun today! cant wait to tan tan tan! NZ weather i love you ;) ',positive
' Knicks vs heats friday its going down ',positive
' Check out the performance these brave youngsters did one Saturday morning at Sylvia Park. This is truly a great... http://fb.me/2atmMKtOK  ',positive
' Ramdev s jailed aide s pic with freedom fighters at Ramlila: New Delhi, Aug 9: Controversy erupted at the... http://bit.ly/MAvhWY  #india ',negative
' The fact that after I tweeted that, Max the dog sat on my cold left-out foot... ',objective
' Want to learn more tricks about your #arduino? Check out the latest @mbanzi tutorial here #RSArduino #makers #geek - http://ow.ly/evEQR  ',negative
' Shrimp! pic.twitter.com/Hoi5bxBE ',neutral
' Day 3 Raspberry Pi winners!! Come back tomorrow for the last chance to win 2 more! #OpenStackSummit #DreamCompute pic.twitter.com/EB7DlYl6 ',neutral
' I wanna wish @jaylaura_ a happy 21st bday! She s An amazing gal, we ve only hung out once but she is one of a kind! Enjoy it RIRI :) ',positive
' Bomb Squad bake sale Thursday the 25th !!! Don t miss out. ',positive
' Alan rickman reading return of the native- perfect Sunday listening #bliss ',positive
' Sat in bed Edith is on in the background and I still have a face full of white and I m still in my clothes from last night. STANDARD. ',neutral
' Lemon drizzle cake man gave me a free latte, and it s possibly the best latte I ve ever had. I ll be back tomorrow to give him all my money. ',positive
' Given up on work for the night, really CBA! Know I ll be able to concenttrate better tomorrow anyway. Plus I d rather talk to @DJYuzi now! ',neutral
' RdM seriously believes last night proves Sunday s defeat was unjust? If anything, I m surprised our first XI didn t twat you on Sunday. ',negative
' Khader Adnan is a hero, he s the Palestinian spring and hopefully the spark of a 3rd intifada. #KhaderExists ',positive
' Speaking of King cake, the 1st time my mom had some, she ate the baby. Got stuck in her throat and she had to got to the doc to get it out. ',negative
' Packing for Italy - starting with Arena di Verona tomorrow then heading to Cesena, my hometown. Piadina Romagnola... http://fb.me/12VHqiK4g  ',objective
' I just realized, it s a freezing Thursday night and there s no Bruins game on TV. I m starting to miss NHL...somewhat. ',neutral
' Can today already be over with? I am ready to go to Murray State tomorrow!!! #CollegeVisit :) ',positive
' Presidents Day is this coming Sunday (9th) at the Windmill starting at 1pm. Arrive at 12.45 for pairs to be drawn - all Members welcome. ',objective
' Enjoyed watching the people working out during the tour of #technogymvillage in Cesena, Italy. Workouts for attendees tomorrow. ',positive
' This Bulgarian film won the Special Jury Award at the 2008 Warsaw International Film Festival! http://ow.ly/eTZii  #SBSOnDemand ',objective
' I don t think my plans for tomorrow are smart considering I have SAT s the next day, well YOLO ',negative
' @youngmensociety See you guys on the 6th of October in Bathurst along with Stan Walker. Can t wait!!! :D ',positive
' I think @TylerMedeiros should come back to Calgary. Saw him in September and yeah, he s hot. I love him. <3 #nuffsaid #comeback #love ',positive
' it s my little sisters 15th birthday, Evelyn s being a big girl for the occasion :) http://instagr.am/p/RZyfVqTXlN/  ',positive
' @Ghostcrawler Thanks for upping Valor from heroics, etc. Was concerned about when I finally finish reps. Still miss 1st 7 per week sys. tho. ',positive
' @EricaMLake at the bootleg the last weekend of September. Next Thursday what re you up to? White Arrows at the echo ',objective
' Simon Crean still can t support the way Kevin Rudd was spilled from the role of PM - Herald Sun http://dld.bz/bQAVH  ',negative
' Cba for tomorrow just want tomorrow night and Saturday night ',neutral
' Our founder (@CharlieHilton) will be speaking at Social Media Week (#SMWLDN) on Friday. Read about it: http://bit.ly/SQS9Ob  #SMWfrienefits ',objective
' Social Media Week is right now! Can you tell I m excited? #SMWVAN I ll be at the @BCAMA event tomorrow, see you there! http://www.chicagonow.com/get-employed/2012/09/social-media-week-%e2%80%9cthe-changing-face-of-employment%e2%80%9d/ … ',positive
' may God be with and protect everyone else from the storm that s about to hit Constitution Hall ',positive
' Winter Storm Watch remains in effect from Monday evening through Wednesday morning for the Smoky Mountains. 4-8 inches of snow is possible. ',objective
' He want the country divided as Filthy Rich or Dirt Poor! And EVERYBODY on my TL gone be in the 2nd category! ',neutral
