@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute neg_score real
@attribute neu_score real
@attribute pos_score real
@attribute compund_score real
@data
positive,0.0,0.769,0.231,0.6369
objective,0.0,1.0,0.0,0.0
positive,0.0,0.721,0.279,0.6841
positive,0.0,0.538,0.462,0.8619
negative,0.134,0.866,0.0,-0.4767
positive,0.0,0.786,0.214,0.4574
objective,0.077,0.923,0.0,-0.1511
positive,0.0,0.84,0.16,0.6114
positive,0.217,0.783,0.0,-0.5574
positive,0.0,0.705,0.295,0.7979
neutral,0.247,0.612,0.141,-0.1901
negative,0.179,0.821,0.0,-0.5551
objective,0.0,0.834,0.166,0.636
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.753,0.247,0.3182
positive,0.0,0.636,0.364,0.8977
negative,0.0,1.0,0.0,0.0
positive,0.0,0.847,0.153,0.4019
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.856,0.144,0.6166
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.87,0.13,0.4574
neutral,0.0,0.448,0.552,0.5719
neutral,0.0,1.0,0.0,0.0
negative,0.337,0.595,0.068,-0.8176
positive,0.0,0.653,0.347,0.9022
positive,0.0,0.814,0.186,0.4939
objective,0.07,0.705,0.225,0.6322
negative,0.0,1.0,0.0,0.0
objective,0.0,0.819,0.181,0.636
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
negative,0.0,0.879,0.121,0.4404
neutral,0.0,0.898,0.102,0.1779
negative,0.194,0.685,0.121,-0.2023
negative,0.094,0.906,0.0,-0.3612
negative,0.0,0.878,0.122,0.2023
positive,0.0,0.68,0.32,0.5093
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.891,0.109,0.4019
positive,0.263,0.614,0.123,-0.5669
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.764,0.236,0.5267
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.69,0.31,0.8392
neutral,0.0,1.0,0.0,0.0
negative,0.222,0.778,0.0,-0.5719
positive,0.0,0.833,0.167,0.4588
objective,0.0,1.0,0.0,0.0
positive,0.062,0.938,0.0,-0.0516
objective,0.0,0.87,0.13,0.5574
negative,0.0,0.884,0.116,0.2732
objective,0.0,0.876,0.124,0.4019
positive,0.0,0.784,0.216,0.6981
objective,0.0,1.0,0.0,0.0
positive,0.0,0.759,0.241,0.5423
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.854,0.146,0.6249
positive,0.0,0.76,0.24,0.69
negative,0.17,0.722,0.108,-0.3315
objective,0.0,0.876,0.124,0.34
positive,0.0,0.732,0.268,0.6588
neutral,0.0,1.0,0.0,0.0
objective,0.122,0.878,0.0,-0.3612
positive,0.0,0.828,0.172,0.4404
positive,0.202,0.694,0.105,-0.4472
positive,0.0,0.873,0.127,0.4404
positive,0.0,1.0,0.0,0.0
negative,0.227,0.594,0.179,-0.3818
neutral,0.0,0.714,0.286,0.4215
negative,0.125,0.795,0.08,-0.296
negative,0.0,1.0,0.0,0.0
objective,0.0,0.827,0.173,0.6341
positive,0.076,0.413,0.511,0.8885
positive,0.0,1.0,0.0,0.0
positive,0.0,0.651,0.349,0.8781
positive,0.0,0.791,0.209,0.4404
positive,0.171,0.509,0.319,0.4939
positive,0.0,0.8,0.2,0.4588
neutral,0.112,0.888,0.0,-0.34
positive,0.0,0.75,0.25,0.7901
negative,0.0,1.0,0.0,0.0
neutral,0.0,0.771,0.229,0.7133
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.0,0.868,0.132,0.4404
negative,0.363,0.637,0.0,-0.8442
neutral,0.306,0.694,0.0,-0.296
negative,0.196,0.804,0.0,-0.6597
neutral,0.095,0.905,0.0,-0.3182
positive,0.0,0.682,0.318,0.6801
negative,0.048,0.792,0.16,0.5719
objective,0.0,0.847,0.153,0.4019
positive,0.091,0.754,0.155,0.3818
positive,0.0,0.802,0.198,0.6361
neutral,0.145,0.855,0.0,-0.296
neutral,0.0,0.888,0.112,0.34
positive,0.0,0.709,0.291,0.8636
negative,0.197,0.803,0.0,-0.4927
positive,0.0,0.792,0.208,0.6369
objective,0.0,1.0,0.0,0.0
positive,0.1,0.548,0.351,0.7574
positive,0.0,0.791,0.209,0.6696
objective,0.0,0.862,0.138,0.466
positive,0.0,0.815,0.185,0.6124
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.731,0.269,0.7096
neutral,0.352,0.648,0.0,-0.4215
neutral,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
positive,0.0,0.874,0.126,0.0772
neutral,0.209,0.791,0.0,-0.7614
neutral,0.0,1.0,0.0,0.0
negative,0.103,0.897,0.0,-0.4767
positive,0.0,1.0,0.0,0.0
positive,0.0,0.789,0.211,0.6523
positive,0.0,0.873,0.127,0.5423
negative,0.219,0.569,0.212,-0.296
negative,0.188,0.573,0.239,0.2168
objective,0.0,0.788,0.212,0.4003
neutral,0.112,0.888,0.0,-0.3382
positive,0.0,1.0,0.0,0.0
positive,0.0,0.588,0.412,0.9118
objective,0.0,1.0,0.0,0.0
positive,0.0,0.738,0.262,0.6874
objective,0.0,0.891,0.109,0.296
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.145,0.726,0.129,-0.1007
positive,0.0,1.0,0.0,0.0
negative,0.133,0.867,0.0,-0.3182
objective,0.0,1.0,0.0,0.0
negative,0.0,0.885,0.115,0.09
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.781,0.219,0.7096
negative,0.0,0.886,0.114,0.2023
positive,0.0,0.677,0.323,0.7707
positive,0.0,1.0,0.0,0.0
positive,0.0,0.73,0.27,0.743
negative,0.179,0.65,0.171,0.2023
objective,0.0,1.0,0.0,0.0
negative,0.089,0.846,0.065,-0.1263
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.589,0.411,0.8682
positive,0.0,0.499,0.501,0.9642
positive,0.387,0.613,0.0,-0.6884
positive,0.0,0.73,0.27,0.5719
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.769,0.231,0.8176
neutral,0.0,0.868,0.132,0.5399
negative,0.409,0.528,0.063,-0.8885
positive,0.0,0.613,0.387,0.802
negative,0.061,0.939,0.0,-0.25
objective,0.0,1.0,0.0,0.0
neutral,0.271,0.729,0.0,-0.4939
positive,0.0,0.687,0.313,0.7488
objective,0.0,0.885,0.115,0.4588
positive,0.0,0.837,0.163,0.5106
objective,0.042,0.453,0.506,0.923
negative,0.0,0.63,0.37,0.7672
positive,0.0,0.776,0.224,0.7104
positive,0.0,0.659,0.341,0.8519
positive,0.0,0.824,0.176,0.4588
positive,0.059,0.706,0.234,0.6908
objective,0.0,1.0,0.0,0.0
negative,0.0,0.87,0.13,0.4019
neutral,0.0,0.874,0.126,0.0772
objective,0.0,1.0,0.0,0.0
positive,0.0,0.876,0.124,0.4559
positive,0.0,0.761,0.239,0.5719
objective,0.0,1.0,0.0,0.0
neutral,0.21,0.621,0.169,-0.2924
objective,0.0,1.0,0.0,0.0
positive,0.0,0.881,0.119,0.3182
neutral,0.0,0.909,0.091,0.3182
positive,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
neutral,0.0,0.857,0.143,0.5927
objective,0.0,1.0,0.0,0.0
objective,0.0,0.625,0.375,0.34
positive,0.0,0.839,0.161,0.5574
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.809,0.191,0.5106
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.833,0.167,0.4215
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.832,0.168,0.6669
negative,0.168,0.71,0.122,0.1431
objective,0.0,0.812,0.188,0.4995
positive,0.085,0.672,0.243,0.6671
positive,0.0,0.708,0.292,0.7345
neutral,0.167,0.833,0.0,-0.4588
neutral,0.11,0.574,0.316,0.5106
negative,0.242,0.531,0.227,-0.0772
positive,0.0,0.777,0.223,0.5574
neutral,0.0,0.784,0.216,0.765
negative,0.186,0.814,0.0,-0.6249
positive,0.0,0.451,0.549,0.899
positive,0.0,0.741,0.259,0.6369
neutral,0.139,0.578,0.283,0.3612
negative,0.108,0.819,0.072,-0.1901
neutral,0.0,0.924,0.076,0.34
positive,0.163,0.837,0.0,-0.1439
objective,0.0,0.886,0.114,0.4767
neutral,0.0,0.719,0.281,0.5106
negative,0.4,0.469,0.131,-0.8949
positive,0.0,0.678,0.322,0.6467
positive,0.0,1.0,0.0,0.0
objective,0.0,0.787,0.213,0.5574
positive,0.0,0.415,0.585,0.8707
neutral,0.212,0.788,0.0,-0.5423
positive,0.0,0.651,0.349,0.7088
positive,0.0,0.601,0.399,0.9117
positive,0.0,0.804,0.196,0.6808
negative,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.615,0.385,0.8188
positive,0.0,0.774,0.226,0.8065
positive,0.192,0.808,0.0,-0.6949
positive,0.0,0.842,0.158,0.4939
positive,0.233,0.767,0.0,-0.6973
neutral,0.265,0.362,0.373,0.2244
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.805,0.195,0.4404
positive,0.113,0.637,0.25,0.5855
positive,0.0,0.546,0.454,0.9094
negative,0.112,0.681,0.207,0.4926
positive,0.0,1.0,0.0,0.0
positive,0.0,0.846,0.154,0.6369
positive,0.09,0.752,0.158,0.4215
positive,0.262,0.41,0.327,0.2003
positive,0.0,0.592,0.408,0.784
neutral,0.0,0.873,0.127,0.4404
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.851,0.149,0.6369
objective,0.0,0.588,0.412,0.5423
positive,0.0,0.667,0.333,0.7171
negative,0.444,0.556,0.0,-0.5859
negative,0.138,0.862,0.0,-0.3382
objective,0.0,1.0,0.0,0.0
positive,0.0,0.69,0.31,0.5562
positive,0.0,0.811,0.189,0.6375
negative,0.0,0.735,0.265,0.5267
positive,0.05,0.675,0.275,0.8257
objective,0.0,1.0,0.0,0.0
positive,0.0,0.841,0.159,0.5826
neutral,0.108,0.892,0.0,-0.4824
positive,0.0,1.0,0.0,0.0
negative,0.241,0.759,0.0,-0.6908
objective,0.0,1.0,0.0,0.0
positive,0.283,0.524,0.194,-0.1779
positive,0.0,0.602,0.398,0.8625
positive,0.0,0.818,0.182,0.6124
positive,0.176,0.712,0.112,-0.4019
neutral,0.0,1.0,0.0,0.0
negative,0.343,0.657,0.0,-0.6908
positive,0.0,0.78,0.22,0.5423
objective,0.0,0.782,0.218,0.5994
positive,0.0,0.514,0.486,0.9445
neutral,0.0,0.776,0.224,0.6369
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.119,0.832,0.049,-0.2382
negative,0.0,0.898,0.102,0.3612
negative,0.121,0.834,0.046,-0.4199
negative,0.0,1.0,0.0,0.0
positive,0.138,0.862,0.0,-0.3382
neutral,0.0,0.634,0.366,0.8791
positive,0.0,0.751,0.249,0.7892
objective,0.0,1.0,0.0,0.0
positive,0.0,0.477,0.523,0.8264
negative,0.0,1.0,0.0,0.0
positive,0.0,0.65,0.35,0.8225
positive,0.0,0.709,0.291,0.7783
positive,0.0,0.686,0.314,0.8268
negative,0.149,0.851,0.0,-0.5423
positive,0.0,0.788,0.212,0.658
negative,0.429,0.571,0.0,-0.9356
positive,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
neutral,0.195,0.497,0.308,0.4912
positive,0.0,0.856,0.144,0.4926
positive,0.0,1.0,0.0,0.0
negative,0.269,0.731,0.0,-0.7896
positive,0.0,0.58,0.42,0.8558
positive,0.0,0.69,0.31,0.6696
negative,0.12,0.727,0.153,0.2263
neutral,0.0,0.846,0.154,0.4767
objective,0.0,0.838,0.162,0.5411
positive,0.213,0.787,0.0,-0.6892
neutral,0.186,0.57,0.243,0.3612
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.196,0.46,0.344,0.3167
negative,0.0,1.0,0.0,0.0
positive,0.0,0.867,0.133,0.5242
positive,0.0,0.739,0.261,0.7184
negative,0.0,0.777,0.223,0.6341
positive,0.0,0.714,0.286,0.765
negative,0.283,0.628,0.089,-0.5719
objective,0.0,0.85,0.15,0.4574
neutral,0.095,0.905,0.0,-0.296
positive,0.0,0.872,0.128,0.5242
neutral,0.0,0.748,0.252,0.6179
neutral,0.187,0.813,0.0,-0.4404
neutral,0.0,0.837,0.163,0.5983
positive,0.0,0.741,0.259,0.7419
neutral,0.0,1.0,0.0,0.0
neutral,0.188,0.812,0.0,-0.6597
objective,0.0,1.0,0.0,0.0
positive,0.073,0.763,0.164,0.4344
negative,0.0,1.0,0.0,0.0
positive,0.0,0.811,0.189,0.4199
objective,0.0,1.0,0.0,0.0
positive,0.0,0.648,0.352,0.8655
neutral,0.0,0.802,0.198,0.6369
positive,0.0,0.8,0.2,0.4574
positive,0.0,0.699,0.301,0.8225
positive,0.539,0.461,0.0,-0.9329
neutral,0.057,0.943,0.0,-0.0516
objective,0.0,1.0,0.0,0.0
negative,0.297,0.703,0.0,-0.8354
positive,0.0,0.587,0.413,0.9241
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.101,0.672,0.227,0.3612
positive,0.0,0.782,0.218,0.6476
positive,0.0,0.794,0.206,0.6892
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.736,0.264,0.8002
positive,0.0,0.748,0.252,0.6597
positive,0.134,0.694,0.171,0.2023
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.236,0.686,0.078,-0.4728
objective,0.0,1.0,0.0,0.0
positive,0.0,0.819,0.181,0.6369
negative,0.091,0.909,0.0,-0.34
neutral,0.272,0.728,0.0,-0.5216
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.778,0.222,0.717
positive,0.0,0.585,0.415,0.9258
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.876,0.124,0.4767
positive,0.0,0.792,0.208,0.6369
negative,0.0,0.873,0.127,0.4939
objective,0.0,0.734,0.266,0.7845
neutral,0.164,0.836,0.0,-0.3313
negative,0.196,0.804,0.0,-0.2942
neutral,0.219,0.719,0.062,-0.645
objective,0.0,1.0,0.0,0.0
positive,0.0,0.813,0.187,0.5994
positive,0.0,0.693,0.307,0.7351
neutral,0.0,0.865,0.135,0.3612
positive,0.0,1.0,0.0,0.0
negative,0.0,0.886,0.114,0.4019
negative,0.115,0.738,0.148,0.1027
objective,0.112,0.888,0.0,-0.3382
positive,0.0,1.0,0.0,0.0
positive,0.0,0.791,0.209,0.4404
positive,0.0,0.9,0.1,0.2235
neutral,0.0,1.0,0.0,0.0
objective,0.0,0.845,0.155,0.212
positive,0.0,0.86,0.14,0.5562
neutral,0.0,0.809,0.191,0.5423
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.859,0.141,0.5574
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.041,0.782,0.177,0.5913
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.127,0.678,0.196,0.3274
negative,0.212,0.788,0.0,-0.5413
neutral,0.0,0.87,0.13,0.4019
positive,0.0,1.0,0.0,0.0
positive,0.0,0.712,0.288,0.784
negative,0.33,0.67,0.0,-0.7845
objective,0.0,1.0,0.0,0.0
objective,0.121,0.879,0.0,-0.296
negative,0.0,0.743,0.257,0.4215
positive,0.0,0.764,0.236,0.7568
objective,0.0,0.857,0.143,0.4588
positive,0.0,0.771,0.229,0.7592
positive,0.0,0.418,0.582,0.9262
negative,0.106,0.894,0.0,-0.3818
neutral,0.667,0.333,0.0,-0.6124
positive,0.0,0.763,0.237,0.6808
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.67,0.33,0.8122
positive,0.0,0.87,0.13,0.4588
positive,0.0,0.746,0.254,0.7564
positive,0.0,0.857,0.143,0.4588
positive,0.264,0.736,0.0,-0.7269
neutral,0.13,0.87,0.0,-0.4019
positive,0.078,0.827,0.095,0.09
objective,0.07,0.814,0.116,0.3034
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.705,0.295,0.6908
negative,0.154,0.523,0.323,0.7562
negative,0.149,0.851,0.0,-0.4215
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.756,0.244,0.7777
objective,0.0,1.0,0.0,0.0
negative,0.147,0.853,0.0,-0.3412
negative,0.138,0.862,0.0,-0.3412
negative,0.114,0.586,0.3,0.694
neutral,0.0,1.0,0.0,0.0
objective,0.0,0.889,0.111,0.2484
neutral,0.0,1.0,0.0,0.0
negative,0.176,0.824,0.0,-0.4588
positive,0.0,0.817,0.183,0.5562
negative,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.119,0.793,0.088,-0.1779
negative,0.118,0.882,0.0,-0.4215
positive,0.0,0.534,0.466,0.8619
positive,0.0,1.0,0.0,0.0
objective,0.0,0.734,0.266,0.5719
positive,0.0,1.0,0.0,0.0
positive,0.0,0.724,0.276,0.8402
positive,0.0,0.718,0.282,0.7712
positive,0.066,0.473,0.461,0.9333
positive,0.0,0.828,0.172,0.3612
positive,0.049,0.701,0.25,0.8221
positive,0.0,0.654,0.346,0.5719
objective,0.0,0.775,0.225,0.4939
negative,0.171,0.829,0.0,-0.4767
positive,0.0,0.801,0.199,0.5754
negative,0.0,1.0,0.0,0.0
positive,0.0,0.739,0.261,0.6486
positive,0.0,0.872,0.128,0.4215
objective,0.0,0.804,0.196,0.5994
negative,0.07,0.671,0.259,0.7845
neutral,0.0,1.0,0.0,0.0
objective,0.0,0.864,0.136,0.5106
positive,0.121,0.684,0.195,0.34
positive,0.225,0.775,0.0,-0.7003
positive,0.0,0.645,0.355,0.8316
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.784,0.216,0.6705
negative,0.0,0.898,0.102,0.3094
positive,0.0,0.829,0.171,0.5719
neutral,0.0,0.876,0.124,0.34
neutral,0.0,0.912,0.088,0.34
negative,0.159,0.841,0.0,-0.4966
positive,0.0,0.821,0.179,0.34
positive,0.177,0.409,0.414,0.8381
positive,0.0,0.728,0.272,0.7964
neutral,0.0,0.859,0.141,0.508
objective,0.0,1.0,0.0,0.0
negative,0.0,0.873,0.127,0.4404
objective,0.0,1.0,0.0,0.0
positive,0.0,0.881,0.119,0.3182
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.754,0.246,0.7065
neutral,0.0,0.824,0.176,0.5927
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.726,0.274,0.8201
negative,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.629,0.371,0.908
positive,0.217,0.598,0.184,-0.0129
neutral,0.069,0.931,0.0,-0.1027
positive,0.0,0.63,0.37,0.8555
positive,0.0,0.791,0.209,0.6486
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.803,0.197,0.4019
positive,0.0,0.756,0.244,0.636
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.161,0.781,0.057,-0.4588
objective,0.0,1.0,0.0,0.0
objective,0.0,0.834,0.166,0.4559
positive,0.0,0.865,0.135,0.4215
positive,0.0,0.859,0.141,0.5093
neutral,0.0,0.826,0.174,0.5859
neutral,0.065,0.935,0.0,-0.1531
negative,0.246,0.754,0.0,-0.7589
neutral,0.0,0.872,0.128,0.3612
positive,0.084,0.795,0.121,0.2263
positive,0.037,0.444,0.52,0.9612
neutral,0.15,0.85,0.0,-0.5983
positive,0.0,0.881,0.119,0.4559
positive,0.0,0.603,0.397,0.9044
positive,0.0,0.767,0.233,0.7717
neutral,0.12,0.733,0.148,-0.0516
neutral,0.126,0.827,0.047,-0.4939
neutral,0.0,0.809,0.191,0.6696
negative,0.186,0.814,0.0,-0.6783
positive,0.249,0.573,0.178,-0.4981
neutral,0.0,0.808,0.192,0.5859
positive,0.0,0.663,0.337,0.6808
positive,0.0,0.763,0.237,0.4215
neutral,0.087,0.913,0.0,-0.296
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.628,0.372,0.8271
neutral,0.098,0.737,0.165,0.2263
neutral,0.0,0.884,0.116,0.2732
positive,0.0,0.913,0.087,0.2023
positive,0.0,0.554,0.446,0.9287
objective,0.0,0.83,0.17,0.5983
objective,0.116,0.759,0.125,-0.2023
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.632,0.368,0.8715
objective,0.0,0.867,0.133,0.3818
positive,0.0,0.773,0.227,0.6249
positive,0.0,0.683,0.317,0.6249
negative,0.321,0.679,0.0,-0.8957
positive,0.0,0.757,0.243,0.8268
objective,0.0,1.0,0.0,0.0
positive,0.0,0.66,0.34,0.8507
objective,0.0,1.0,0.0,0.0
positive,0.0,0.838,0.162,0.4019
objective,0.0,0.857,0.143,0.3612
positive,0.0,0.731,0.269,0.8282
positive,0.0,1.0,0.0,0.0
objective,0.059,0.941,0.0,-0.0516
positive,0.0,0.608,0.392,0.9165
neutral,0.0,0.856,0.144,0.4003
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.648,0.352,0.4215
positive,0.0,0.591,0.409,0.9018
positive,0.0,0.868,0.132,0.4404
positive,0.0,0.674,0.326,0.8478
neutral,0.0,0.79,0.21,0.6114
positive,0.143,0.584,0.273,0.4588
positive,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.301,0.699,0.0,-0.7845
positive,0.0,0.732,0.268,0.7049
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.772,0.228,0.5574
positive,0.0,0.84,0.16,0.6562
positive,0.0,0.75,0.25,0.7177
positive,0.0,0.803,0.197,0.4019
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.727,0.273,0.4588
negative,0.194,0.806,0.0,-0.4767
positive,0.0,0.565,0.435,0.9466
neutral,0.0,0.857,0.143,0.4574
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.103,0.791,0.107,0.0258
negative,0.167,0.833,0.0,-0.1531
positive,0.071,0.661,0.268,0.6688
positive,0.0,0.752,0.248,0.5093
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.786,0.214,0.4574
positive,0.0,0.68,0.32,0.5093
negative,0.151,0.755,0.094,-0.1531
neutral,0.0,0.753,0.247,0.3182
negative,0.0,0.726,0.274,0.7705
positive,0.0,0.83,0.17,0.4767
positive,0.2,0.8,0.0,-0.6705
negative,0.133,0.774,0.094,-0.2398
positive,0.074,0.703,0.224,0.6696
positive,0.102,0.779,0.119,0.1027
positive,0.0,0.72,0.28,0.7778
positive,0.0,0.783,0.217,0.5972
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.831,0.169,0.6209
objective,0.0,1.0,0.0,0.0
neutral,0.227,0.773,0.0,-0.5719
objective,0.0,1.0,0.0,0.0
positive,0.0,0.662,0.338,0.8264
positive,0.0,1.0,0.0,0.0
positive,0.101,0.759,0.139,0.2617
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.811,0.189,0.4215
positive,0.167,0.59,0.243,0.0217
positive,0.0,0.723,0.277,0.7482
positive,0.0,0.659,0.341,0.6351
positive,0.0,0.863,0.137,0.4019
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.845,0.155,0.6166
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.818,0.182,0.4404
negative,0.0,0.854,0.146,0.4404
positive,0.061,0.87,0.069,0.0516
positive,0.0,0.576,0.424,0.7096
positive,0.0,1.0,0.0,0.0
positive,0.0,0.791,0.209,0.6696
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.715,0.285,0.6988
objective,0.0,0.931,0.069,0.1779
neutral,0.0,0.844,0.156,0.5423
negative,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.774,0.226,0.5859
objective,0.0,1.0,0.0,0.0
positive,0.196,0.684,0.12,-0.4199
neutral,0.225,0.775,0.0,-0.6219
positive,0.0,0.735,0.265,0.5707
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.059,0.739,0.202,0.5983
neutral,0.118,0.573,0.309,0.7184
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.117,0.708,0.175,0.34
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.714,0.286,0.4939
positive,0.0,0.877,0.123,0.4215
positive,0.0,0.662,0.338,0.8482
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.834,0.166,0.6114
negative,0.167,0.833,0.0,-0.34
positive,0.0,0.783,0.217,0.7263
neutral,0.098,0.726,0.176,0.4824
objective,0.0,0.897,0.103,0.3182
positive,0.0,0.761,0.239,0.6876
objective,0.0,1.0,0.0,0.0
positive,0.092,0.677,0.231,0.5423
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.734,0.266,0.5046
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.881,0.119,0.3182
neutral,0.0,1.0,0.0,0.0
objective,0.0,0.872,0.128,0.3612
objective,0.0,1.0,0.0,0.0
positive,0.0,0.768,0.232,0.7672
positive,0.0,0.632,0.368,0.8879
neutral,0.0,1.0,0.0,0.0
negative,0.097,0.826,0.077,-0.1082
positive,0.0,0.75,0.25,0.7896
objective,0.0,1.0,0.0,0.0
positive,0.134,0.763,0.103,-0.2023
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.726,0.274,0.7783
negative,0.109,0.891,0.0,-0.4023
positive,0.0,0.822,0.178,0.5697
negative,0.115,0.798,0.087,-0.1406
positive,0.0,0.726,0.274,0.8374
positive,0.0,0.778,0.222,0.5719
positive,0.0,0.734,0.266,0.8225
objective,0.0,1.0,0.0,0.0
neutral,0.134,0.866,0.0,-0.4767
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.795,0.205,0.5994
negative,0.177,0.698,0.126,-0.2732
negative,0.36,0.64,0.0,-0.7759
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.788,0.212,0.7482
neutral,0.0,0.906,0.094,0.3612
positive,0.099,0.672,0.229,0.2724
positive,0.0,0.747,0.253,0.7263
negative,0.112,0.668,0.22,0.469
negative,0.164,0.678,0.158,-0.0334
negative,0.13,0.87,0.0,-0.4588
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.769,0.231,0.34
neutral,0.081,0.701,0.218,0.5719
positive,0.255,0.505,0.24,-0.1511
neutral,0.0,1.0,0.0,0.0
negative,0.099,0.711,0.19,0.3182
neutral,0.0,1.0,0.0,0.0
negative,0.148,0.736,0.116,0.048
positive,0.164,0.836,0.0,-0.4098
objective,0.0,1.0,0.0,0.0
negative,0.152,0.783,0.065,-0.4588
negative,0.093,0.596,0.311,0.7804
